drug,field,year,url
ALL_FAERS,receivedate,2022,https://api.fda.gov/drug/event.json?search=receivedate:[20220101+TO+20221231]&limit=1
ALL_FAERS,receivedate,2023,https://api.fda.gov/drug/event.json?search=receivedate:[20230101+TO+20231231]&limit=1
ALL_FAERS,receivedate,2024,https://api.fda.gov/drug/event.json?search=receivedate:[20240101+TO+20241231]&limit=1
ALL_FAERS,receivedate,2025,https://api.fda.gov/drug/event.json?search=receivedate:[20250101+TO+20251231]&limit=1
propranolol,openfda_generic_name,2022,https://api.fda.gov/drug/event.json?search=patient.drug.openfda.generic_name:propranolol+AND+receivedate:[20220101+TO+20221231]&limit=1
propranolol,openfda_generic_name,2023,https://api.fda.gov/drug/event.json?search=patient.drug.openfda.generic_name:propranolol+AND+receivedate:[20230101+TO+20231231]&limit=1
propranolol,openfda_generic_name,2024,https://api.fda.gov/drug/event.json?search=patient.drug.openfda.generic_name:propranolol+AND+receivedate:[20240101+TO+20241231]&limit=1
propranolol,openfda_generic_name,2025,https://api.fda.gov/drug/event.json?search=patient.drug.openfda.generic_name:propranolol+AND+receivedate:[20250101+TO+20251231]&limit=1
propranolol,medicinalproduct,2022,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:propranolol+AND+receivedate:[20220101+TO+20221231]&limit=1
propranolol,medicinalproduct,2023,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:propranolol+AND+receivedate:[20230101+TO+20231231]&limit=1
propranolol,medicinalproduct,2024,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:propranolol+AND+receivedate:[20240101+TO+20241231]&limit=1
propranolol,medicinalproduct,2025,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:propranolol+AND+receivedate:[20250101+TO+20251231]&limit=1
atenolol,openfda_generic_name,2022,https://api.fda.gov/drug/event.json?search=patient.drug.openfda.generic_name:atenolol+AND+receivedate:[20220101+TO+20221231]&limit=1
atenolol,openfda_generic_name,2023,https://api.fda.gov/drug/event.json?search=patient.drug.openfda.generic_name:atenolol+AND+receivedate:[20230101+TO+20231231]&limit=1
atenolol,openfda_generic_name,2024,https://api.fda.gov/drug/event.json?search=patient.drug.openfda.generic_name:atenolol+AND+receivedate:[20240101+TO+20241231]&limit=1
atenolol,openfda_generic_name,2025,https://api.fda.gov/drug/event.json?search=patient.drug.openfda.generic_name:atenolol+AND+receivedate:[20250101+TO+20251231]&limit=1
atenolol,medicinalproduct,2022,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:atenolol+AND+receivedate:[20220101+TO+20221231]&limit=1
atenolol,medicinalproduct,2023,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:atenolol+AND+receivedate:[20230101+TO+20231231]&limit=1
atenolol,medicinalproduct,2024,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:atenolol+AND+receivedate:[20240101+TO+20241231]&limit=1
atenolol,medicinalproduct,2025,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:atenolol+AND+receivedate:[20250101+TO+20251231]&limit=1
metoprolol,openfda_generic_name,2022,https://api.fda.gov/drug/event.json?search=patient.drug.openfda.generic_name:metoprolol+AND+receivedate:[20220101+TO+20221231]&limit=1
metoprolol,openfda_generic_name,2023,https://api.fda.gov/drug/event.json?search=patient.drug.openfda.generic_name:metoprolol+AND+receivedate:[20230101+TO+20231231]&limit=1
metoprolol,openfda_generic_name,2024,https://api.fda.gov/drug/event.json?search=patient.drug.openfda.generic_name:metoprolol+AND+receivedate:[20240101+TO+20241231]&limit=1
metoprolol,openfda_generic_name,2025,https://api.fda.gov/drug/event.json?search=patient.drug.openfda.generic_name:metoprolol+AND+receivedate:[20250101+TO+20251231]&limit=1
metoprolol,medicinalproduct,2022,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:metoprolol+AND+receivedate:[20220101+TO+20221231]&limit=1
metoprolol,medicinalproduct,2023,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:metoprolol+AND+receivedate:[20230101+TO+20231231]&limit=1
metoprolol,medicinalproduct,2024,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:metoprolol+AND+receivedate:[20240101+TO+20241231]&limit=1
metoprolol,medicinalproduct,2025,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:metoprolol+AND+receivedate:[20250101+TO+20251231]&limit=1
